id,title,description
1,The Great Gatsby,A classic novel about the rise and fall of a man who dreams of wealth and love.
2,To Kill a Mockingbird,A novel about the moral growth of a young girl in the American South.
3,1984,A dystopian novel about a totalitarian society.
4,Pride and Prejudice,A novel about the love and marriage of two young people.
5,The Catcher in the Rye,A novel about the life of a young man who is trying to find himself.
6,The Lord of the Rings,A fantasy novel about a journey to destroy a powerful ring.
7,The Hobbit,A fantasy novel about a journey to destroy a powerful ring.
8,The Silmarillion,A fantasy novel about a journey to destroy a powerful ring.
9,The Fellowship of the Ring,A fantasy novel about a journey to destroy a powerful ring.
10,The Two Towers,A fantasy novel about a journey to destroy a powerful ring.
